sent	relation	contig	matches POS	between args	meets constraints	reason
The good news is that I think OAuth will be given the proper shake it needs to get any remaining kinks out.	will be given	1	1	1	1	
"The images expanded our view of how human land use is reshaping our world, from the patchwork farms of the U.S. Midwest to the building boom in Dubai."	expanded our view of	1	1	1	1	
"The images expanded our view of how human land use is reshaping our world, from the patchwork farms of the U.S. Midwest to the building boom in Dubai."	is reshaping	1	1	1	1	
The latest edition of Elements is completely updated and includes a new 10th principle--the rights and responsibilities of citizens.	includes	1	1	1	1	
The study of politics has been seen as a scientific one in that it is possible to gain an objective knowledge of the political world through differentiating it between facts and values.	has been seen as	1	1	1	1	
The utility's $2.3 billion project to import liquid natural gas from overseas would increase greenhouse gas emissions and destroy habitat.	would increase	1	1	1	1	
The utility's $2.3 billion project to import liquid natural gas from overseas would increase greenhouse gas emissions and destroy habitat.	would destroy	0	1	1	0	coordination
The video has been added to your playlist.	has been added to	1	1	1	1	
The world created in Avatar looks fantastic.	looks	1	1	1	1	
There is nothing so ridiculous but some philosopher has said it.	has said	1	1	1	1	
This PowerPoint presentation was developed to encourage state level promotion of walk and bicycle to school programs by building state level partnerships and assisting local constituents to develop walk and bicycle to school programs.	was developed to encourage	1	1	1	1	
This XL retrospective explores Albert Oehlen's entire career chronologically and examines his creative process via in-depth texts and an interview with the artist.	explores	1	1	1	1	
This XL retrospective explores Albert Oehlen's entire career chronologically and examines his creative process via in-depth texts and an interview with the artist.	examines	1	1	1	1	
This article has been designed to help you make sense of what a FICO score really is.	make sense of	1	1	1	1	
This fear is largely untrue.	is	1	1	1	1	
This is a two-tier competition with a decent prize if you win for the forum you enter on and a Grand Prize for the winner of the whole competition.	is	1	1	1	1	
This is a two-tier competition with a decent prize if you win for the forum you enter on and a Grand Prize for the winner of the whole competition.	win for	1	1	1	1	
"This is how my sister will be when my parents eventually pass, this is how my sister will be when I become her default guardian, even though I am ten years younger than her."	become	1	1	1	1	
"This is how my sister will be when my parents eventually pass, this is how my sister will be when I become her default guardian, even though I am ten years younger than her."	am ten years younger than	1	1	1	1	
This of course leads to the drawing of pistols.	leads to	1	1	1	1	
This page answers some likely questions and gives a fuller introduction to the series.	answers	1	1	1	1	
This page answers some likely questions and gives a fuller introduction to the series.	gives a fuller introduction to	1	1	1	1	
This website is intended for viewing solely in the United States.	is intended for viewing solely in	1	1	1	1	
This website is produced and maintained by community volunteers.	is produced by	0	1	1	0	coordination
This website is produced and maintained by community volunteers.	is maintained by	0	1	1	0	coordination
This week I take a look at the latest film from Monty Python alum Terry Gilliam: The Imaginarium of Doctor Parnassus.	take a look at	1	1	1	1	
Those in the global south who have contributed least to the problem are now facing the effects.	have contributed least to	1	1	1	1	
Those in the global south who have contributed least to the problem are now facing the effects.	are now facing	1	1	1	1	
Tuyuca requires verb-endings on statements to show how the speaker knows something.	requires	1	1	1	1	
"Twenty-three years ago, on October 19, 1986, the sun quite suddenly set at noon."	set at	1	1	1	1	
"Twenty-three years ago, on October 19, 1986, the sun quite suddenly set at noon."	set on	0	0	0	0	introductory - preposition
We apologize for the inconvenience and thank you for your patience while we restore and upgrade this functionality.	apologize for	1	1	1	1	
We apologize for the inconvenience and thank you for your patience while we restore and upgrade this functionality.	thank you for	1	1	1	1	
We apologize for the inconvenience and thank you for your patience while we restore and upgrade this functionality.	restore	1	1	1	1	
We apologize for the inconvenience and thank you for your patience while we restore and upgrade this functionality.	upgrade	1	1	1	1	
"We have reviewed a handful of refurbished computer monitors from Geeks.com over the past few years, and overall we have been quite pleased."	reviewed	1	1	1	1	
We need your help!	need	1	1	1	1	
We run almost 400 projects around the UK from drug misuse to disability; youth crime to mental health; sexual abuse to domestic violence; poverty to homelessness.	run	1	1	1	1	
"We used to have a link to this, but Washinton Post has decided to start charging users who wishes to read articles on the web site and therefore we have decided to remove the link."	used to have a link to	1	1	1	1	
"We used to have a link to this, but Washinton Post has decided to start charging users who wishes to read articles on the web site and therefore we have decided to remove the link."	has decided to start charging	1	1	1	1	
"We used to have a link to this, but Washinton Post has decided to start charging users who wishes to read articles on the web site and therefore we have decided to remove the link."	wishes to read	1	1	1	1	
"We used to have a link to this, but Washinton Post has decided to start charging users who wishes to read articles on the web site and therefore we have decided to remove the link."	decided to remove	1	1	1	1	
"WebAIM offers onsite training, consulting & technical assistance, accessible site design, and other services."	offers	1	1	1	1	
"Weird facts, unusual information, bits and pieces of miscellany that we've been accumulating for ever and ever."	ve been accumulating	1	1	0	0	not between args - relative clause
Well I have big plans for future ventures.	have big plans for	1	1	1	1	
"While on-line computer exploration opens a world of possibilities for children, expanding their horizons and exposing them to different cultures and ways of life, they can be exposed to dangers as they hit the road exploring the information highway."	opens a world of possibilities for	1	0	1	0	interrupting modifier
"While on-line computer exploration opens a world of possibilities for children, expanding their horizons and exposing them to different cultures and ways of life, they can be exposed to dangers as they hit the road exploring the information highway."	expanding	1	1	1	1	
"While on-line computer exploration opens a world of possibilities for children, expanding their horizons and exposing them to different cultures and ways of life, they can be exposed to dangers as they hit the road exploring the information highway."	can be exposed to	1	1	1	1	
"While on-line computer exploration opens a world of possibilities for children, expanding their horizons and exposing them to different cultures and ways of life, they can be exposed to dangers as they hit the road exploring the information highway."	hit	1	1	1	1	
"While on-line computer exploration opens a world of possibilities for children, expanding their horizons and exposing them to different cultures and ways of life, they can be exposed to dangers as they hit the road exploring the information highway."	exploring	1	1	1	1	
"While written for judges, this volume presents the latest research in a format useful to all professionals working with young children in foster care."	written for	1	1	0	0	introductory - participle
"While written for judges, this volume presents the latest research in a format useful to all professionals working with young children in foster care."	presents	1	1	1	1	
"While written for judges, this volume presents the latest research in a format useful to all professionals working with young children in foster care."	useful to	1	1	1	1	
"You can also browse lists of new movies, free movies, etc."	can also browse	1	1	1	1	
You can choose to listen to the full conversation or select individual sections.	can choose to listen to	1	1	1	1	
You can choose to listen to the full conversation or select individual sections.	can select	0	1	1	0	coordination
